om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia;om_puntoFinalVia_long;om_puntoFinalVia_lat;om_puntoInicioVia_lat;om_puntoInicioVia_long;om_puntoMedioVia_lat;om_puntoMedioVia_long;om_situadaEnBarrio_label
Maria Auxiliadora;517.69;Avda;3945;-6.371442;39.466583;39.462683;-6.375042;39.464622;-6.373217;El Rodeo
Pablo Naranjo Porras;681.11;Avda;3809;-6.368042;39.466883;39.463683;-6.374842;39.465538;-6.371532;El Rodeo
Hermanos Romero Ruiz;175.42;Calle;1541;-6.368942;39.468983;39.468183;-6.370742;39.468469;-6.369643;Hernández Pacheco
De La Hispanidad;1520.48;Avda;1288;-6.367042;39.462883;39.460783;-6.384442;39.461062;-6.375559;Llopis Ivorra
Andalucia;182.02;Calle;33;-6.375142;39.458583;39.458183;-6.377342;39.458383;-6.376194;Las Trescientas
Formentera;34.09;Calle;3573;-6.373942;39.457183;39.456783;-6.374142;39.456947;-6.37404;Las Trescientas
De Dulcinea;683.89;Avda;3014;-6.369042;39.457383;39.456183;-6.376942;39.456877;-6.372962;Maltravieso
Potosi;340.75;Calle;3634;-6.377642;39.453983;39.453183;-6.381642;39.453587;-6.379675;San Antonio (Nuevo Cáceres)
La Habana;653.77;Calle;3635;-6.375242;39.453583;39.451983;-6.382642;39.452895;-6.378527;San Antonio (Nuevo Cáceres)
Chopin;148.07;Calle;4107;-6.366042;39.457083;39.455783;-6.366742;39.45645;-6.366424;Vistahermosa
Bizet;241.49;Calle;4106;-6.365742;39.459683;39.458183;-6.366742;39.458824;-6.366636;Vistahermosa
Verdi;259.5;Calle;4119;-6.363242;39.456683;39.455783;-6.366142;39.456256;-6.364641;Vistahermosa
De Valencia De Alcantara;3620.29;Ctra;524;-6.421742;39.461983;39.453983;-6.462542;39.458602;-6.440988;Diseminado
Joan Miro;61.96;Calle;4046;-6.365742;39.494983;39.494483;-6.366442;39.494721;-6.366084;Ronda
Numancia;148.83;Calle;352;-6.377642;39.476683;39.475483;-6.378642;39.476073;-6.378075;Casas Baratas
Plus Ultra;86.15;Calle;389;-6.381442;39.468683;39.468183;-6.382442;39.468458;-6.381953;Argentina
Comarca De Los Ibores;210.88;Calle;3307;-6.403942;39.480783;39.479483;-6.405242;39.480174;-6.404229;R-66-A (El Arco)
Angelita Capdevielle;244.04;Avda;36;-6.373342;39.463483;39.461483;-6.374642;39.462482;-6.374204;La Bondad
Lucas Burgos Capdevielle;73.01;Calle;3648;-6.394042;39.452383;39.451883;-6.394842;39.452108;-6.394418;La Paloma
Isla De Cerdeña;82.63;Calle;3594;-6.388742;39.472483;39.471783;-6.389242;39.47213;-6.388998;R-66-B (Parque del Príncipe)
Jaraiz De La Vera;305.69;Calle;259;-6.387942;39.449483;39.447483;-6.390542;39.448591;-6.389448;Barriada Minera
Bartolome Jose Gallardo;324.94;Calle;3754;-6.362142;39.489083;39.487083;-6.365042;39.488015;-6.363547;Mejostilla
Rio Tiber;599.16;Avda;3467;-6.388542;39.452683;39.449983;-6.394142;39.451016;-6.391519;La Paloma
Monroy;132.21;Calle;320;-6.386442;39.447483;39.446583;-6.387642;39.447024;-6.387067;Barriada Minera
Rio Alagon;301.57;Calle;3382;-6.403942;39.478083;39.476983;-6.407042;39.477697;-6.405065;La Sierrilla
Maria Antonia Fuertes;637.25;Calle;3911;-6.349042;39.475583;39.473183;-6.354842;39.464622;-6.373217;Residencial Universidad
Marcos Mariño Baez;278.95;Calle;3871;-6.359242;39.484883;39.483083;-6.361642;39.473227;-6.351087;Las Candelas
Ceres;228.48;Calle;122;-6.375042;39.475583;39.473683;-6.376242;39.474531;-6.375204;San Juan
Isla De Lanzarote;35.68;Calle;3522;-6.374042;39.457483;39.457083;-6.374142;39.457254;-6.374087;Las Trescientas
Comarca De Gata;1387.34;Calle;3385;-6.398242;39.485383;39.476983;-6.400942;39.48115;-6.400344;La Sierrilla
Enrique Diez Canedo;221.98;Calle;3223;-6.399542;39.472483;39.470383;-6.400242;39.471456;-6.399903;Los Castellanos
Gonzalo Mingo;442.58;Calle;3665;-6.363142;39.493583;39.491383;-6.367542;39.492514;-6.36533;Mejostilla
Ermita De San Benito;954.27;Avda;3746;-6.376642;39.429583;39.422683;-6.381842;39.42316;-6.381059;Ceres Golf
Garcia Holguin;143.8;Calle;207;-6.375042;39.475983;39.475483;-6.376642;39.475628;-6.375918;Casas Baratas
Casas De Cotallo;96.35;Calle;114;-6.375242;39.473583;39.473183;-6.376442;39.473356;-6.375817;San Juan
Godoy;42.05;Calle;225;-6.369542;39.475983;39.475483;-6.369742;39.475776;-6.369682;Santiago
Santa Rosa De Lima;138.94;Calle;1015;-6.376542;39.480183;39.479083;-6.377742;39.479683;-6.377161;Aguas Vivas
Antonio Hernandez Gil;530.58;Calle;3915;-6.350242;39.474483;39.474183;-6.356542;39.474346;-6.353125;Residencial Universidad
Carolina Coronado;156.97;Calle;3143;-6.399442;39.472983;39.472683;-6.401342;39.472878;-6.400257;Los Castellanos
Jose Canal Rosado;285.62;Calle;3144;-6.400042;39.472883;39.470283;-6.400842;39.471594;-6.400445;Los Castellanos
Garcia Marquez;199.03;Calle;3454;-6.397842;39.470783;39.468983;-6.398742;39.466365;-6.381822;Los Castellanos
Andres Burgos;299.65;Calle;3735;-6.362542;39.487483;39.485283;-6.364942;39.486433;-6.363723;Mejostilla
Rodriguez De Ledesma;681.5;Avda;1125;-6.381642;39.472383;39.470583;-6.388142;39.470678;-6.384136;Parque del Príncipe
Doctor Fleming;257.14;Calle;165;-6.379142;39.473783;39.472483;-6.381842;39.47311;-6.380476;La Madrila
San Pedro De Alcantara;221.11;Avda;2499;-6.378342;39.471483;39.470383;-6.380742;39.470934;-6.379489;Cánovas
Doctor Marañon;77.42;Calle;3571;-6.377842;39.469083;39.468683;-6.378742;39.468899;-6.378321;Cánovas
Angel Fernandez;240.86;Calle;3140;-6.376642;39.481983;39.481783;-6.377542;39.481916;-6.3771;La Zambomba
Juan Ramon Marchena;136.9;Calle;3869;-6.360042;39.484183;39.483283;-6.361242;39.483713;-6.360582;Las Candelas
De Cervantes;1236.54;Avda;3071;-6.368042;39.463783;39.456083;-6.374842;39.459921;-6.371302;La Bondad
Julian Murillo;88.02;Calle;270;-6.375042;39.465483;39.465083;-6.376142;39.465305;-6.375574;El Rodeo
Parmenides;301.62;Calle;4168;-6.350642;39.492583;39.490683;-6.353342;39.491635;-6.352016;Nueva Ciudad
Descartes;406.65;Calle;4170;-6.352342;39.491883;39.489483;-6.356142;39.490731;-6.354247;Nueva Ciudad
Obispo Galarza;61.43;Plaza;353;-6.373342;39.475583;39.474983;-6.373542;39.475351;-6.373627;Margallo
Consul Lucio Cornelio Balbo;158.1;Calle;143;-6.376542;39.473983;39.473183;-6.378242;39.47359;-6.377401;Casas Baratas
De San Blas;263.41;Avda;3052;-6.369042;39.480183;39.477783;-6.369442;39.479021;-6.369385;San Blas
Picadero;189.61;Calle;3538;-6.367842;39.477783;39.476383;-6.368942;39.477095;-6.368667;Santiago
Cataluña;69.3;Calle;118;-6.376242;39.457683;39.457383;-6.377142;39.457547;-6.376702;Las Trescientas
Libra;699.5;Calle;3379;-6.391542;39.476283;39.474783;-6.399142;39.475975;-6.394934;R-66-A (El Arco)
Tauro;250.87;Calle;3391;-6.391642;39.477283;39.476183;-6.394342;39.476732;-6.39293;R-66-A (El Arco)
